,media,mediana,inter_linear,inter_cubic,inter_slinear,inter_akima,inter_poly5,inter_spline5,knn,media_movel_3,real,pix
2,543.0970394736842,595.5,365.3333333333333,395.4352348328402,365.3333333333333,380.9171868497712,584.6008594674347,572.6666308966182,554.5,253.0,503.0000216960907,409.9149167835712
3,543.0970394736842,595.5,477.6666666666666,504.6234898885602,477.6666666666666,495.0565959217644,579.6201001202255,574.7473078293111,582.5833333333334,253.0,590.0000069141388,354.99620336294174
10,543.0970394736842,595.5,724.0,729.1393336751753,724.0,726.7801418439717,728.0813223012312,726.3591052539836,707.4285714285714,734.5,617.0000001192093,359.1700755953789
14,543.0970394736842,595.5,609.0,615.9363482430671,609.0,610.7257653061225,619.8892445092823,615.7271883166068,664.2857142857143,665.0,193.00000190734863,135.97595360130072
16,543.0970394736842,595.5,545.0,504.3743796986632,545.0,529.6039763001976,491.6275574258641,497.33392078274335,603.0571428571428,568.0,452.9999966621399,208.44417563080788
17,543.0970394736842,595.5,522.0,440.85857103501377,522.0000000000001,495.79560236998026,412.09742888137146,419.54535042055767,584.0571428571428,568.0,565.9999824762344,369.97922843694687
22,543.0970394736842,595.5,614.3333333333334,649.4281387584324,614.3333333333333,631.7397775968826,656.3238050663595,657.1555852941814,572.1860317460317,509.5,709.0000020861626,357.7288555800915
23,543.0970394736842,595.5,662.6666666666666,692.8862399733234,662.6666666666666,686.003935689369,700.1269923192755,701.177562515049,594.6749206349207,566.0,686.0000110864639,213.6730569601059
25,543.0970394736842,595.5,710.0,716.4865153232707,710.0,714.0583078491335,711.2928604270375,710.0614598246743,648.1229931972788,711.0,649.0000184774399,451.7761856615544
26,543.0970394736842,595.5,709.0,714.4284829458667,709.0,713.4958205912334,710.8641200254468,709.0550988340963,661.3729931972789,711.0,494.0000190138817,142.60001707077026
34,543.0970394736842,595.5,485.5,493.4439414100715,485.5,485.3709375,495.4230148022507,496.3224261225373,504.4285714285714,575.5,688.9999948740005,227.46158719062805
36,543.0970394736842,595.5,352.5,326.5864172597528,352.5,347.44450819672136,323.1889562699169,322.89162942975724,455.7755102040816,426.0,699.0000159144402,413.6999243199825
40,543.0970394736842,595.5,529.25,570.0043488168552,529.25,552.0950865980772,577.4214725333616,577.5412636388633,492.9625850340136,415.0,646.9999828338623,424.746943295002
41,543.0970394736842,595.5,582.5,630.1624989101692,582.5,612.5734567346572,639.6275153740422,639.7152766281889,499.16043083900223,476.0,596.9999964237213,275.11479341983795
45,543.0970394736842,595.5,698.0,706.0030487360117,698.0,701.6580835795695,711.4983058522647,711.3524736885815,626.8357111363064,696.5,226.9999977946281,680.1592862606049
46,543.0970394736842,595.5,692.0,697.9933362074411,692.0,695.6639932460954,705.288496878335,705.027089980853,640.8127924450204,704.0,358.0000070929527,716.742128610611
48,543.0970394736842,595.5,666.5,672.6548018379809,666.5,675.5979243388015,663.9260604584006,664.2715510162284,628.092643368761,686.0,511.9999993443489,642.612554192543
51,543.0970394736842,595.5,546.0,529.8655597121094,546.0,546.0334698121791,499.7041466858457,500.54801184223726,485.3865804210951,622.0,607.0000076889992,393.39150965213776
57,543.0970394736842,595.5,423.6666666666667,450.4985902632659,423.6666666666666,444.8704967092176,421.8343462275165,423.6051007344939,348.6,292.5,492.0000008940697,381.9990829825401
58,543.0970394736842,595.5,489.33333333333337,513.6446588839332,489.3333333333333,513.4879426798354,489.5195632642835,490.8516959252861,376.4333333333333,358.0,461.9999997615814,399.69007939100266
60,543.0970394736842,595.5,572.3333333333334,581.4990151679609,572.3333333333333,577.7415778622888,591.9308211902586,591.3884960306865,476.1722222222222,555.0,187.99999941140413,511.5526658296585
61,543.0970394736842,595.5,589.6666666666666,597.5665356183005,589.6666666666666,595.3663221528083,602.4504145318805,602.2565750137243,495.86759259259264,555.0,216.0000010803342,490.7686951160431
64,543.0970394736842,595.5,599.0,609.1521889293207,599.0,607.2844036697247,603.6624729711065,604.1355548981476,552.8079629629631,609.5,336.0000083744526,443.8156478703022
65,543.0970394736842,595.5,586.0,596.5351710259196,586.0,594.6422018348625,585.4049877432145,586.3582032923653,550.445925925926,612.0,368.0,519.1754653453827
