,media,mediana,inter_linear,inter_cubic,inter_slinear,inter_akima,inter_poly5,inter_spline5,knn,media_movel_3,real,pix
7,50.410485197368416,47.0,80.2,80.38725248819577,80.2,80.2187012987013,80.19901629777256,79.75508162785273,79.4,80.35000000000001,56.89999908804893,39.21637545600534
8,50.410485197368416,47.0,79.9,80.09092817203987,79.9,79.89844155844156,79.81357201362353,79.82359429561615,79.7,80.50000000000001,57.19999843835831,30.81323455572128
11,50.410485197368416,47.0,79.075,78.96611874311854,79.07499999999999,79.05198863636363,79.06402578040247,79.97163353335321,79.324,79.3,59.69999883174896,45.90804174542427
12,50.410485197368416,47.0,78.85,78.7080945292471,78.85,78.80909090909091,78.80111062632214,79.90857587489886,79.15733333333334,79.3,59.60000138878823,43.99723557531834
15,50.410485197368416,47.0,78.4,78.3480608254585,78.4,78.32447552447553,78.35348528506725,78.90693256935796,78.85803703703705,78.4,56.2999995470047,32.15711055397988
17,50.410485197368416,47.0,78.6,78.57524546356979,78.6,78.60128205128206,78.53613176001039,77.67778288501319,78.77082098765432,78.4,55.50000178217888,27.274921362102035
19,50.410485197368416,47.0,78.89999999999999,78.9882607339281,78.89999999999999,78.92222222222222,79.12195469809811,76.95996426493545,78.90412257495589,78.79999999999998,54.199999046325686,35.326694852113725
20,50.410485197368416,47.0,79.0,79.0984273093262,79.0,79.02222222222223,79.25654400685556,77.32885324912245,78.95936794532628,78.79999999999998,53.70000083446503,35.59622749388218
26,50.410485197368416,47.0,66.05,70.85525881516128,66.05,72.48336776859503,72.58453330800323,67.2308852973161,60.633333333333326,79.29999999999998,50.60000077188015,36.72692921757698
27,50.410485197368416,47.0,52.8,55.7590548402008,52.8,56.705647382920105,57.334154594883,54.19485505665451,52.13333333333333,79.29999999999998,50.5999995291233,51.695288735628125
32,50.410485197368416,47.0,27.5,24.725239129715,27.5,24.850736842105267,23.95344615071895,25.30094594262056,34.75047619047619,20.050000000000004,49.79999977350235,45.72004074156284
33,50.410485197368416,47.0,35.400000000000006,34.111677934731176,35.400000000000006,34.31621052631579,33.282230750683226,35.54859764317842,36.3584126984127,19.600000000000005,49.49999994337559,44.62382016181945
38,50.410485197368416,47.0,52.833333333333336,53.016253676022814,52.83333333333333,52.84376719576719,52.78056110942892,52.19633336764927,46.22744268077601,58.5,49.10000075101853,46.42291621565819
39,50.410485197368416,47.0,47.766666666666666,47.12877530670426,47.766666666666666,47.00499470899472,46.82837650754463,46.23511355716055,47.397818090199046,57.9,49.00000138282776,45.2294600367546
43,50.410485197368416,47.0,45.2,46.42441855552246,45.2,45.21267685342388,46.93876895198218,44.8517195095078,45.01630301503317,42.45,48.70000001788139,55.07941101789474
44,50.410485197368416,47.0,47.1,49.02084255642927,47.1,47.20956423316356,49.72786789488683,46.05850905581748,44.83090043071902,43.29999999999999,48.60000070929527,47.519185185432434
47,50.410485197368416,47.0,46.1,45.420920748061846,46.1,46.1,45.33773598928515,47.200766814763256,46.17817192082175,47.55,48.30000011920929,37.47675124406815
51,50.410485197368416,47.0,46.1,46.12107488037604,46.1,46.1,46.18990266043529,46.56082543167164,46.11302865347029,46.10000000000001,47.80000028610229,33.82715885937214
53,50.410485197368416,47.0,46.1,46.05459172763933,46.1,46.1,45.96244229321951,46.09993259486414,46.10186123621005,46.09999999999999,47.6999998152256,59.22267516851425
54,50.410485197368416,47.0,46.1,46.03512749511233,46.1,46.1,45.95248965139315,45.86618697755993,46.03936123621004,46.09999999999999,47.599999859929085,63.91138806343078
60,50.410485197368416,47.0,44.650000000000006,44.5756823181832,44.650000000000006,44.61111111111112,44.57162658305988,44.54381445003101,44.9125,45.35,47.10000052452087,55.07989914417267
65,50.410485197368416,47.0,43.95,43.96556306603538,43.95,43.96666666666667,43.9536407496327,43.63652685515064,43.95,44.05,52.20000094771385,51.65489072799683
67,50.410485197368416,47.0,43.65,43.67276823003167,43.65,43.66666666666666,43.67762922978543,43.32727737141775,43.725,43.89999999999999,53.89999859333038,63.66416276097297
69,50.410485197368416,47.0,43.2,43.205864013837896,43.2,43.20416666666666,43.2099304533304,43.04719433592694,43.225,43.399999999999984,55.50000152587891,65.59864177703858
71,50.410485197368416,47.0,42.7,42.69127571461672,42.7,42.704166666666666,42.677587483889646,42.79513386886463,42.69375000000001,42.99999999999999,55.8000007033348,45.37258312702179
77,50.410485197368416,47.0,41.7,41.7085998959335,41.7,41.7,41.71718416537722,42.194868899975205,41.8,41.7,52.40000040829182,60.04232270717621
80,50.410485197368416,47.0,41.7,41.70060368717211,41.7,41.7,41.70385108024666,41.974448042156006,41.71666666666667,41.7,67.29999929666518,66.62263098359107
82,50.410485197368416,47.0,41.7,41.699838311082345,41.7,41.7,41.69819575352065,41.85393838772562,41.702777777777776,41.7,77.10000139474869,41.00054610967637
84,50.410485197368416,47.0,41.7,41.70004306849852,41.7,41.7,41.70075379909033,41.75296161831061,41.70277777777778,41.7,80.2,42.313402605056766
86,50.410485197368416,47.0,41.7,41.699989414923614,41.7,41.7,41.69974257663476,41.67011427960976,41.70079365079365,41.7,79.0,49.32481365203858
90,50.410485197368416,47.0,41.7,41.700000445742056,41.7,41.7,41.700066129410615,41.55315688581162,41.70015873015873,41.7,78.99999932050704,45.1575248003006
91,50.410485197368416,47.0,41.7,41.70000044293326,41.7,41.7,41.70008411359791,41.53304041434852,41.70002645502645,41.69999999999999,79.3,51.2979907989502
94,50.410485197368416,47.0,41.7,41.69999995305972,41.7,41.7,41.69998665687162,41.491775290475125,41.70004320987654,41.7,76.50000149011612,58.02719664573669
96,50.410485197368416,47.0,41.7,41.70000002777864,41.7,41.7,41.70001276379713,41.47843391926801,41.700012345679006,41.7,76.60000138282776,53.57027940154075
97,50.410485197368416,47.0,41.7,41.70000002646954,41.7,41.7,41.700012848890594,41.47550016341115,41.70000793650793,41.7,76.1999985218048,55.39931197166442
104,50.410485197368416,47.0,41.7,41.69999999998792,41.7,41.7,41.699999949469024,41.50929216420786,41.7,41.7,70.89999889731408,62.596554207801816
106,50.410485197368416,47.0,41.7,41.700000000005424,41.7,41.7,41.70000003952164,41.53166652982926,41.7,41.7,69.60000041723251,61.71241457462311
107,50.410485197368416,47.0,41.7,41.70000000000324,41.7,41.7,41.70000002354844,41.54422288882514,41.7,41.7,68.70000042915345,50.06584686040878
112,50.410485197368416,47.0,41.7,41.70000000000002,41.7,41.7,41.70000000120235,41.61521611128274,41.7,41.7,63.49999904632568,71.02504668235778
113,50.410485197368416,47.0,41.7,41.70000000000002,41.7,41.7,41.70000000096844,41.6301627877425,41.7,41.69999999999999,62.99999971389771,65.38516600131987
115,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.69999999967482,41.65986378760755,41.7,41.7,61.899999159574506,53.4303662776947
117,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.70000000024907,41.68860723215312,41.7,41.7,60.60000145435333,71.13841125965118
118,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.7000000001723,41.70237711682588,41.7,41.7,60.49999893903732,70.16063550114632
120,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.699999999962245,41.72827739581097,41.7,41.7,60.099998867511744,65.49839075803756
126,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.70000000000057,41.78780929577572,41.7,41.7,60.09999994635582,57.16773546934128
128,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.6999999999998,41.80021470574509,41.7,41.7,60.40000086426736,59.94148091077805
133,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.69999999999998,41.81309160087973,41.7,41.7,60.79999888539314,54.2816863656044
136,50.410485197368416,47.0,41.7,41.7,41.70000000000001,41.7,41.7,41.808606339780766,41.7,41.7,61.49999954104424,66.5343207359314
137,50.410485197368416,47.0,41.7,41.7,41.70000000000001,41.7,41.7,41.80522342432351,41.7,41.7,61.100001299381255,55.50011179447174
147,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.70000000000002,41.73225564283272,41.7,41.7,61.50000073909759,69.55395057201385
151,50.410485197368416,47.0,41.7,41.69999999999999,41.7,41.7,41.70000000000003,41.69235450158356,41.7,41.7,61.100000315904616,58.940895318984985
152,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.70000000000002,41.68235072057332,41.7,41.69999999999999,61.49999861121178,54.03801728487015
154,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.7,41.662850874653095,41.7,41.7,61.40000121593476,47.4245336830616
156,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.70000000000001,41.644533593340014,41.7,41.7,60.89999894499779,48.04944242238999
157,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.7,41.63600254247736,41.7,41.7,60.800000357627866,39.12518933415413
159,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.7,41.62054577696679,41.7,41.7,60.39999915361405,65.16652584075928
160,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.7,41.61375209436938,41.7,41.7,60.29999845027923,52.24295899868012
173,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.69999999999995,41.60567744286961,41.7,41.7,58.29999924898148,45.76346085071564
174,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.69999999999986,41.61210961803361,41.7,41.69999999999999,58.20000131130219,42.53028218150139
183,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.70000000001666,41.70856548699231,41.7,41.7,57.19999859333039,52.07888016700745
187,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.699999999754574,41.76347448775991,41.7,41.7,56.30000137090683,31.39608100503683
189,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.70000000077915,41.78975851390479,41.7,41.7,55.80000061392784,43.08834990859032
191,50.410485197368416,47.0,41.7,41.7,41.7,41.7,41.6999999966625,41.81326109789429,41.7,41.7,55.60000005364418,46.39501690864563
192,50.410485197368416,47.0,41.7,41.69999999999999,41.7,41.7,41.69999999368133,41.82341854920483,41.7,41.7,55.299998581409454,35.29792949855327
197,50.410485197368416,47.0,41.7,41.70000000000056,41.7,41.7,41.700000020245845,41.84792605476033,41.7,41.7,53.999999058246615,33.83306084275246
199,50.410485197368416,47.0,41.7,41.69999999999779,41.7,41.7,41.69999993783028,41.84020410479478,41.7,41.7,53.40000179409981,45.29815888404846
201,50.410485197368416,47.0,41.7,41.7000000000103,41.7,41.7,41.700000226857874,41.81954597000433,41.7,41.7,53.00000097751618,40.26686566472054
202,50.410485197368416,47.0,41.7,41.700000000015926,41.7,41.7,41.70000031477517,41.8040565029736,41.7,41.7,52.8999994635582,37.66115689873696
204,50.410485197368416,47.0,41.7,41.69999999996615,41.7,41.7,41.69999964909374,41.76287970342658,41.7,41.7,52.09999957680702,36.0274226218462
209,50.410485197368416,47.0,41.7,41.69999999356284,41.7,41.7,41.69999249556776,41.61578824110697,41.7,41.7,50.8999998152256,34.36218477189541
212,50.410485197368416,47.0,41.7,41.6999998738378,41.7,41.7,41.6999330586044,41.52814923905037,41.7,41.7,50.19999963343143,43.79615187644959
213,50.410485197368416,47.0,41.7,41.69999978987722,41.7,41.7,41.69990079296532,41.50675736621569,41.7,41.7,50.10000023543834,44.30568933188916
217,50.410485197368416,47.0,41.7,41.70000932185204,41.7,41.7,41.70111610240566,41.50197783640742,41.7,41.7,48.899999344348906,37.92094277739525
218,50.410485197368416,47.0,41.7,41.70002067846633,41.7,41.7,41.70254787713306,41.52691294842694,41.7,41.69999999999999,48.99999972581863,38.142612896859646
225,50.410485197368416,47.0,41.7,41.68973754963993,41.7,41.7,41.59794418341648,41.94458292797827,41.7,41.7,47.50000085532666,20.226853475719693
226,50.410485197368416,47.0,41.7,41.67722208928341,41.7,41.7,41.43876952954509,42.00287998409675,41.7,41.69999999999999,47.099999862909314,35.265977191925046
