,media,mediana,inter_linear,inter_cubic,inter_slinear,inter_akima,inter_poly5,inter_spline5,knn,media_movel_3,real,pix
1,220.1389802631579,175.0,5.5,7.85902105258296,5.5,5.604166666666667,43.98178398979879,15172.046671685608,2.25,7.0,10.00000023841858,236.33458387851715
6,220.1389802631579,175.0,72.66666666666667,83.15561013461559,72.66666666666666,61.87769580251209,82.62221680891336,666.9125852821164,57.833333333333336,1.5,476.99998593330383,49.74817952513695
7,220.1389802631579,175.0,143.33333333333334,186.93884950959688,143.33333333333331,167.6287977981025,195.5430494697623,591.4783853566739,65.26190476190476,2.0,223.999996304512,38.470459282398224
10,220.1389802631579,175.0,90.0,65.3122311139336,90.0,78.42327741031144,57.79065024854408,113.33307202284692,99.1825396825397,169.0,147.99999904632568,146.7494068145752
12,220.1389802631579,175.0,67.0,67.99209966807535,67.0,66.51351351351352,70.81842511730484,50.26644051983106,105.31179138321995,56.0,201.00000688433647,44.816957518458366
14,220.1389802631579,175.0,71.0,71.46937021376496,71.0,71.5625,75.25833855579114,73.0050048854165,106.64204729510854,78.0,405.0000067949295,24.916191015392545
18,220.1389802631579,175.0,197.25,296.20961832032845,197.25,215.6067408659379,351.583440359446,321.1349398857319,115.52840945902172,172.0,72.99999848008156,144.9964201450348
19,220.1389802631579,175.0,152.5,250.8249268638911,152.5,159.4626726121979,332.6087125588214,296.1580435237207,117.30568189180435,242.0,37.99999850988388,153.31158632040024
22,220.1389802631579,175.0,48.25,10.37314996776329,48.25,44.88381555153707,-29.864876824110432,-18.174142445303705,71.63348493683188,63.0,3.000000014901161,62.34186625480652
23,220.1389802631579,175.0,33.5,-6.4224683485006775,33.5,26.460216998191683,-49.86740326804645,-39.38749176242705,64.31766418313357,63.0,86.99999810755253,101.70117127895357
27,220.1389802631579,175.0,1.5,-7.3559990830671556,1.5,0.760737946264262,-16.628490433310912,-16.18269519298213,65.62752886914403,3.0,105.00000095367432,53.902265682816505
33,220.1389802631579,175.0,110.5,76.18097479370559,110.5,99.92996719980256,56.478671069642,56.41927165355579,119.14285714285714,202.0,189.99999260902405,72.6192626953125
37,220.1389802631579,175.0,117.5,109.42681074645677,117.5,121.0051893615449,111.8996051529952,111.89516026051244,139.73469387755102,103.5,6.000000088475645,128.94319194555283
39,220.1389802631579,175.0,189.0,204.8207723327327,189.0,203.73500899894495,211.0422408040889,211.07097865149183,146.34183673469389,110.0,62.99999845027924,127.3219628930092
44,220.1389802631579,175.0,70.66666666666667,56.01928135737244,70.66666666666666,57.80415172446653,46.46834329813661,46.62435244041141,122.83333333333331,122.5,291.9999904930592,483.1435542106629
45,220.1389802631579,175.0,46.333333333333336,35.04284852903045,46.33333333333333,36.46707811144605,27.640274052380104,28.016939358472868,84.69047619047618,95.0,337.0000025033951,146.5264015197754
47,220.1389802631579,175.0,11.5,9.516003032809817,11.5,8.874914979757085,11.408841056064972,10.852577378626316,46.19047619047619,22.0,232.0000052452088,199.4622642993927
52,220.1389802631579,175.0,127.5,126.36129950679114,127.5,134.276714528935,116.6696689791204,117.30294924866746,53.0,21.5,85.00000047683716,126.62552499771118
54,220.1389802631579,175.0,183.0,243.76784751632275,183.0,204.3037420420841,275.4842241944713,274.3244852270021,77.6,220.0,62.00000047683716,168.05073234438896
55,220.1389802631579,175.0,146.0,207.11988513146116,146.0,157.15429508861098,253.3260831183899,251.4484083172721,91.52,220.0,10.99999962747097,265.68919229507446
58,220.1389802631579,175.0,70.66666666666667,29.736171871334832,70.66666666666666,61.25712451356076,5.016890273267644,6.669006806984624,101.35666666666668,72.0,26.00000035762787,241.79763793945312
59,220.1389802631579,175.0,69.33333333333333,25.45816286546272,69.33333333333333,58.72729779619389,2.969027667383953,4.958933385120297,114.12809523809524,72.0,54.999998331069946,234.95970821380607
