,media,mediana,inter_linear,inter_cubic,inter_slinear,inter_akima,inter_poly5,inter_spline5,knn,media_movel_3,real,pix
1,11.060526315789463,10.6,8.8,11.531180016230632,8.8,8.823931623931626,58.96016025182737,0.8581893947811565,8.5,9.0,9.600000119209293,10.896077704429626
2,11.060526315789463,10.6,8.6,10.437453344153756,8.6,8.614529914529914,29.221100193961213,5.092958440086109,7.859999999999999,9.0,8.000000122189523,10.332467126846314
8,11.060526315789463,10.6,6.9,7.551030050881648,6.9,6.606286549707602,8.11565070562339,5.682803106092042,7.242857142857143,7.1,7.000000107288361,8.08242471218109
12,11.060526315789463,10.6,8.3,8.29258621891251,8.3,8.535207359813084,7.835018945000352,8.667471364668078,6.89047619047619,7.249999999999999,4.199999953061342,5.081307171285153
14,11.060526315789463,10.6,7.933333333333333,8.648479630018862,7.933333333333333,8.345156695156696,8.848219702072127,7.58550806149479,6.370068027210883,9.1,5.10000002682209,4.9394454032182695
15,11.060526315789463,10.6,6.766666666666666,7.2469481995193075,6.766666666666666,7.016702279202278,7.1180720567772005,6.401653625631036,6.495068027210884,9.1,9.39999994635582,7.772914576530456
21,11.060526315789463,10.6,7.1,5.774165076401478,7.1,7.229524734315154,4.323208117913953,7.590428221871753,6.14,6.549999999999999,5.0000001102685925,6.949729996919632
23,11.060526315789463,10.6,9.35,10.621974129425867,9.35,9.427538268356852,12.619781485326216,10.04083922695801,8.24,9.1,5.400000095367432,9.195087054371834
24,11.060526315789463,10.6,9.6,10.456427247039326,9.6,9.60181376066332,12.176908068815903,11.015369035321523,8.28,9.1,5.800000095367431,4.852052116394042
28,11.060526315789463,10.6,8.0,8.57795117901442,8.0,8.192736943907157,9.027893768125844,7.768813845402167,8.074285714285715,10.55,7.600000059604644,7.899806225299836
30,11.060526315789463,10.6,5.266666666666667,3.506990626392498,5.266666666666666,4.762589283976567,2.708781095233781,4.928300538959009,7.653469387755102,5.0,9.500000023841858,10.353278732299804
31,11.060526315789463,10.6,5.533333333333333,4.059961586535607,5.533333333333333,5.0484108911854575,3.464099697746616,4.758505602467428,7.303965014577259,5.0,10.300000190734863,9.301240921020508
35,11.060526315789463,10.6,6.685714285714286,5.010862585373057,6.685714285714285,6.41250072880299,2.7641967017790474,8.511283563844502,6.675991253644314,6.799999999999999,9.300000274181366,6.919441606104374
36,11.060526315789463,10.6,7.071428571428571,4.20077558942001,7.07142857142857,6.647081950807057,-1.94563467668025,9.339116753111572,6.518997813411079,6.299999999999999,9.799999922513962,9.223460799455642
46,11.060526315789463,10.6,9.6,10.058825329280568,9.6,9.737992831541218,9.689162272998782,9.838303346956543,9.06,9.55,19.200000381469728,17.1501251578331
47,11.060526315789463,10.6,9.4,10.296626129560249,9.4,9.510394265232977,10.780022276362914,9.795016930344918,8.243333333333332,9.8,17.00000044107437,15.041055524349211
49,11.060526315789463,10.6,7.899999999999999,6.215932094431536,7.899999999999999,8.146963361210673,3.892105085556277,8.033464958006315,8.386190476190476,9.2,10.299999833106996,10.9967143535614
50,11.060526315789463,10.6,6.6,3.8329577853696746,6.6,6.443389088012743,0.8936625468022995,6.871935468810768,8.911190476190477,9.2,9.300000125169753,9.494873654842376
58,11.060526315789463,10.6,16.725,18.89357708115137,16.724999999999998,18.249710918685363,18.116495714130384,19.099833266019235,13.933333333333335,17.05,10.0,8.099061965942383
59,11.060526315789463,10.6,14.25,14.513001111853807,14.25,14.860838803103997,10.71638023636338,17.302647153280084,12.861904761904764,19.200000000000003,7.599999806284904,12.276076090335843
67,11.060526315789463,10.6,9.45,10.52548106462532,9.45,9.458317204301077,11.761129038134062,9.461570172202231,8.433333333333334,8.5,10.499999859929083,12.80433442592621
